timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-03-27T04:08:16,Creation of index,37f2e2c4-5b18-47d2-a6ee-f2386be55c8e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.339000399995712,7.613517434494787e-06,9.1300120749469e-07,32.5,20.22727403959088,5.940482139587403,7.526861694441323e-05,4.684698192192194e-05,1.37454520891563e-05,0.0001358610509554,France,FRA,nouvelle-aquitaine,,,Windows-10-10.0.26100-SP0,3.11.9,2.8.3,12,11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz,1,1 x NVIDIA GeForce RTX 3060,-0.3558,43.3191,15.841285705566406,machine,N,1.0
2025-03-27T04:13:12,Creation of index,fa9cf4fb-464e-45fc-b92c-a82624b3a0e7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,244.9548769999965,0.0005148577447305099,2.101847291370799e-06,32.5,98.50755638968876,5.940482139587403,0.0022111126013887312,0.006572447480176047,0.0004039297867503196,0.009187489868315099,France,FRA,nouvelle-aquitaine,,,Windows-10-10.0.26100-SP0,3.11.9,2.8.3,12,11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz,1,1 x NVIDIA GeForce RTX 3060,-0.3558,43.3191,15.841285705566406,machine,N,1.0
